Order,p,d,q,AIC,BIC,HQIC,Log Likelihood,Parameters,Converged
"(2, 0, 3)",2,0,3,5799.688185627417,5838.749511553028,5814.045720266652,-2892.8440928137084,7,True
"(3, 0, 3)",3,0,3,5802.7933140080395,5847.434829351596,5819.201925024308,-2893.3966570040197,8,True
"(0, 0, 0)",0,0,0,5856.32923371153,5867.492672991781,5860.432193869035,-2926.164616855765,2,True
"(0, 0, 1)",0,0,1,5854.656848397613,5871.400477876203,5860.810885165189,-2924.3284241988067,3,True
"(0, 0, 2)",0,0,2,5849.34867081193,5871.671469820828,5857.553514899852,-2920.674335405965,4,True
"(1, 0, 3)",1,0,3,5839.199251607043,5872.680388114711,5851.505709869245,-2913.5996258035216,6,True
"(1, 0, 0)",1,0,0,5856.983775304414,5873.72893422479,5863.138215540671,-2925.491887652207,3,True
"(3, 0, 1)",3,0,1,5840.923124982523,5874.4073234958705,5853.230391114408,-2914.4615624912617,6,True
"(0, 0, 3)",0,0,3,5848.831649378097,5876.732596467819,5859.087031263265,-2919.4158246890483,5,True
"(1, 0, 1)",1,0,1,5855.885443860805,5878.21028316559,5864.090826217573,-2923.9427219304025,4,True
"(2, 0, 0)",2,0,0,5855.985467850935,5878.31030715572,5864.190850207702,-2923.9927339254673,4,True
"(3, 0, 0)",3,0,0,5850.700814845921,5878.604313607044,5860.956869955825,-2920.3504074229604,5,True
"(1, 0, 2)",1,0,2,5851.323609098252,5879.227107859375,5861.579664208156,-2920.661804549126,5,True
"(2, 0, 1)",2,0,1,5854.051188983819,5881.957238114801,5864.307916929778,-2922.0255944919095,5,True
"(2, 0, 2)",2,0,2,5853.778954791975,5887.263153305322,5866.086220923859,-2920.8894773959873,6,True
