,Bucket,Forecast Annualised Volatility (%),Six-Month Momentum,Momentum Score,Low-Volatility Score,Growth Composite Score,Equity-Only Weight,Final Portfolio Weight
LT.NS,Growth,21.635066507577523,0.048012901963982335,0.8,0.8,0.7999999999999999,0.13333333333333333,0.09333333333333332
TRENT.NS,Growth,43.07856401881872,0.16600619966709473,1.0,0.2,0.76,0.12666666666666668,0.08866666666666667
BHARTIARTL.NS,Growth,20.835275076825486,0.012119785952287021,0.6,1.0,0.72,0.12,0.08399999999999999
M&M.NS,Growth,27.189237620189587,-0.037984493351739146,0.4,0.6,0.45999999999999996,0.07666666666666666,0.05366666666666666
BEL.NS,Growth,32.743464278701225,-0.14671396258664604,0.2,0.4,0.26,0.043333333333333335,0.030333333333333334
SUNPHARMA.NS,Resilient,16.428783416958794,,,,,0.12454621694144596,0.08718235185901217
HDFCBANK.NS,Resilient,19.15745045013403,,,,,0.1068066353014247,0.07476464471099728
POWERGRID.NS,Resilient,19.962402736661204,,,,,0.10249982682569632,0.07174987877798741
HINDUNILVR.NS,Resilient,20.738693690725686,,,,,0.09866305245868075,0.06906413672107652
TCS.NS,Resilient,30.320293452669475,,,,,0.06748426847275228,0.047238987930926596
