Ticker,Model Used,Observations,Daily Volatility Forecast (%),Annualised Volatility Forecast (%),Alpha,Beta,Gamma,Persistence,Degrees of Freedom,Fallback Reason
SUNPHARMA.NS,"GJR-GARCH(1,1) — Student's t",756,1.034916077728927,16.428783416958794,0.01865012793576983,0.8710464490847345,0.07979254711109528,0.9295928505760519,4.921800681449778,
HDFCBANK.NS,"GJR-GARCH(1,1) — Student's t",756,1.2068059439308818,19.15745045013403,0.10518175734913639,0.6162055230615543,0.13246673368140377,0.7876206472513926,4.3649505863326254,
POWERGRID.NS,"GJR-GARCH(1,1) — Student's t",756,1.2575131717266845,19.962402736661204,0.21395518279149628,0.7800000925183614,-0.16311582850542788,0.9123973610571438,4.937001523775041,
HINDUNILVR.NS,"GJR-GARCH(1,1) — Student's t",756,1.3064149052858198,20.738693690725686,0.26761364471057325,0.05138910579603198,-0.21720892993367485,0.21039828553976778,3.7268622137542433,
BHARTIARTL.NS,"GJR-GARCH(1,1) — Student's t",756,1.3124989607357718,20.835275076825486,0.06791715094093996,0.8444562344420172,-0.029924596266970225,0.897411087249472,4.761260010159568,
LT.NS,"GJR-GARCH(1,1) — Student's t",756,1.36288108517602,21.635066507577523,0.08055324884593384,0.6627318777583331,0.19764651219376964,0.8421083827011517,3.687791587598112,
M&M.NS,"GJR-GARCH(1,1) — Student's t",756,1.7127609781062687,27.189237620189587,0.06723307683789266,0.8919520865643882,0.00911301731567352,0.9637416720601176,7.47938203255631,
TCS.NS,"GJR-GARCH(1,1) — Student's t",756,1.90999895605389,30.320293452669475,0.0,0.9734572972397959,0.030613288983300874,0.9887639417314463,3.239691908280025,
BEL.NS,"GJR-GARCH(1,1) — Student's t",756,2.062644370099294,32.743464278701225,0.14269827631175608,0.5117203680124833,0.16945128549609736,0.7391442870722882,5.411023444913923,
TRENT.NS,"GJR-GARCH(1,1) — Student's t",756,2.7136944578945124,43.07856401881872,0.0022820873836604193,0.9813982470590027,0.0019926459826861125,0.9846766574340061,2.768117023093938,
