Ticker,ADF Statistic,P-Value,Selected Lags,Observations,1% Critical Value,5% Critical Value,10% Critical Value,Stationary at 5%
HDFCBANK.NS,-9.999053018539,1.905700170114565e-17,21,1952,-3.433704467332038,-2.8630218030562116,-2.5675588519656176,True
TCS.NS,-45.13406164677104,0.0,0,1973,-3.4336687168076714,-2.863006019389988,-2.567550447906854,True
HINDUNILVR.NS,-15.98533306952323,6.764009218695634e-29,6,1967,-3.4336788532475775,-2.8630104945933974,-2.567552830738709,True
SUNPHARMA.NS,-44.89638835812057,0.0,0,1973,-3.4336687168076714,-2.863006019389988,-2.567550447906854,True
POWERGRID.NS,-19.38345566377643,0.0,6,1967,-3.4336788532475775,-2.8630104945933974,-2.567552830738709,True
BHARTIARTL.NS,-33.271694762769734,0.0,1,1972,-3.4336704019252355,-2.863006763364656,-2.5675508440376222,True
LT.NS,-14.24112180485935,1.537047639697e-26,8,1965,-3.4336822458349143,-2.863011992405672,-2.567553628252692,True
M&M.NS,-17.108825388461142,7.389803395770535e-30,5,1968,-3.4336771595431106,-2.863009746829746,-2.5675524325901415,True
BEL.NS,-16.329738462841096,3.0693427369159954e-29,6,1967,-3.4336788532475775,-2.8630104945933974,-2.567552830738709,True
TRENT.NS,-18.064838721482285,2.6149086733094625e-30,5,1968,-3.4336771595431106,-2.863009746829746,-2.5675524325901415,True
^NSEI,-11.943808874098991,4.478731928142957e-22,11,1951,-3.433706188960121,-2.86302256314109,-2.567559256675794,True
