,Current Weight,Expected Return,Annualised Volatility,Minimum Daily Return,Maximum Daily Return,Return-to-Risk Ratio
HDFCBANK.NS,0.1,0.03851433593888119,0.2112084704397945,-0.08435816933540463,0.10013281852800282,0.18235223170114193
TCS.NS,0.1,0.0022258568332546736,0.2205023928249061,-0.08386122221554515,0.06632757316079663,0.010094479269538608
HINDUNILVR.NS,0.1,0.01417089947772448,0.20469507565518863,-0.0740040201443275,0.059595169742935106,0.0692293130763709
SUNPHARMA.NS,0.1,0.25792211266439696,0.2062897702227154,-0.04552700421016087,0.1009245815969897,1.2502903676994648
POWERGRID.NS,0.1,0.24227498995011487,0.2529024199291031,-0.12350081851238393,0.0891936076180595,0.9579781404149179
BHARTIARTL.NS,0.1,0.28760489854960974,0.22058403762501652,-0.06570345317281212,0.07027130409393578,1.3038336846409795
LT.NS,0.1,0.23346315598932751,0.24435263010373529,-0.12674643454445889,0.07590041500699285,0.9554354127075086
M&M.NS,0.1,0.31875359325599245,0.2819749932956656,-0.06614253362028122,0.07950774972692476,1.1304321334685254
BEL.NS,0.1,0.48739477336106857,0.3196505758912029,-0.19802288876412877,0.11294577047000098,1.5247736438521529
TRENT.NS,0.1,0.33865315864932827,0.37445011659002797,-0.3304666656457682,0.18863260416135752,0.9044012637339021
