Frontier Portfolio,HDFCBANK.NS,TCS.NS,HINDUNILVR.NS,SUNPHARMA.NS,POWERGRID.NS,BHARTIARTL.NS,LT.NS,M&M.NS,BEL.NS,TRENT.NS
1,0.15500996428370445,0.15959577613661882,0.2,0.19685135532429923,0.11640953922168623,0.12984922546736963,0.011604609090976806,0.0,0.024870120785171416,0.005809409690173426
2,0.1499221079133414,0.15477571556486422,0.2,0.1987722372418645,0.11603574668101513,0.13273983619619412,0.012533110810200927,0.0,0.028460310034570398,0.006760935557949401
3,0.14484745085318793,0.15005094733576205,0.2,0.2,0.1157905460008662,0.13585200530524902,0.013546973619721946,0.0,0.0321361988213202,0.007775878063892668
4,0.13979828113008988,0.14549426950554453,0.2,0.2,0.1157737510008764,0.1393571991966444,0.01470998873349884,0.0,0.03596569123026898,0.008900819203076952
5,0.13458380810919413,0.14102745516788898,0.19999999999999996,0.19999999999999996,0.11560553685675891,0.14238351999196378,0.01552821217455916,0.0017296785196477856,0.03938998883676646,0.009751800343220677
6,0.12933953093637304,0.13657683523378253,0.2,0.2,0.11540934848881323,0.1453234454682429,0.016284642951505,0.0037711667231349693,0.04274101392902514,0.01055401626912315
7,0.12409531561263842,0.13212622789448109,0.2,0.2,0.11521325434246217,0.1482634804189048,0.017041087980193274,0.005812298185342186,0.046092253286050884,0.011356082279927116
8,0.11885091766899399,0.12767548390051248,0.2,0.2,0.11501690764742104,0.1512032777648522,0.017797677435320132,0.007854249725563896,0.049442781720481194,0.012158704136855134
9,0.11360698336364655,0.12322475424857862,0.2,0.2,0.11482072909263917,0.15414293326663162,0.01855396945401953,0.009895365811203717,0.05279401629578189,0.012961248467498993
10,0.10920929752771079,0.1196292595251158,0.19810909011835506,0.2,0.114859689962328,0.15719248816188786,0.019326760137963223,0.011998421143985322,0.05587222860401188,0.013802764818642052
11,0.10518593291983534,0.11641106000461185,0.19538290756867002,0.2,0.11500233514891756,0.16029018542166054,0.020107149901515388,0.014128207542758425,0.05882963645395839,0.014662585038072563
12,0.1011626646471035,0.11319257625102444,0.19265700855061993,0.20000000000000004,0.11514493310762253,0.16338793271653593,0.020887403093719892,0.016257971078025655,0.06178710126624201,0.01552240928910622
