,Stress Scenario,Portfolio,Start Date,End Date,Trading Days,Cumulative Return,Annualised Volatility,Maximum Drawdown,Worst Daily Return,Loss Reduction vs Nifty,Downside Capture
0,Worst Nifty Single Day,Current Equal Weight,2024-06-04,2024-06-04,1,-0.05898956733719585,,0.0,-0.05898956733719585,0.00030403207921492204,0.9948724300395436
1,Worst Nifty Single Day,Maximum Sharpe,2024-06-04,2024-06-04,1,-0.082913751261398,,0.0,-0.082913751261398,-0.023620151844987225,1.398359217140895
2,Worst Nifty Single Day,Minimum Volatility,2024-06-04,2024-06-04,1,-0.033528598731355386,,0.0,-0.033528598731355386,0.025765000685055384,0.5654674207900361
3,Worst Nifty Single Day,Risk Parity,2024-06-04,2024-06-04,1,-0.05203074840454447,,0.0,-0.05203074840454447,0.0072628510118663,0.8775103707086442
4,Worst Nifty Single Day,Nifty 50,2024-06-04,2024-06-04,1,-0.05929359941641077,,0.0,-0.05929359941641077,0.0,1.0
5,Worst Nifty 21-Day Window,Current Equal Weight,2026-02-26,2026-03-30,21,-0.11260588690402651,0.22447444124016208,-0.1130428125012668,-0.03243215954045997,0.011051509716202723,0.9106279930011498
6,Worst Nifty 21-Day Window,Maximum Sharpe,2026-02-26,2026-03-30,21,-0.0865758830142761,0.2262232891898686,-0.09289598598754767,-0.02694682466806564,0.03708151360595313,0.7001270072033287
7,Worst Nifty 21-Day Window,Minimum Volatility,2026-02-26,2026-03-30,21,-0.10650932165033888,0.18582281704685205,-0.10832769744620374,-0.03066961780577926,0.017148074969890348,0.8613259259973367
8,Worst Nifty 21-Day Window,Risk Parity,2026-02-26,2026-03-30,21,-0.11103682473040577,0.2092714027692065,-0.11212014275131554,-0.0317292251749649,0.012620571889823462,0.8979392075624626
9,Worst Nifty 21-Day Window,Nifty 50,2026-02-26,2026-03-30,21,-0.12365739662022923,0.24456938569077585,-0.1241403363843483,-0.03262077926216955,0.0,1.0
10,Worst Nifty 63-Day Window,Current Equal Weight,2025-12-29,2026-03-30,63,-0.1453961868096889,0.18127253378068842,-0.1469716067269785,-0.03243215954045997,-0.0029010815655018396,1.0203591664466678
11,Worst Nifty 63-Day Window,Maximum Sharpe,2025-12-29,2026-03-30,63,-0.12110250848274118,0.17662040750849903,-0.12510556125178385,-0.02694682466806564,0.021392596761445892,0.8498713571614518
12,Worst Nifty 63-Day Window,Minimum Volatility,2025-12-29,2026-03-30,63,-0.13753210224675327,0.15337218928381968,-0.14269443584940822,-0.03066961780577926,0.004963002997433796,0.9651707124330415
13,Worst Nifty 63-Day Window,Risk Parity,2025-12-29,2026-03-30,63,-0.1416282062175397,0.16675853227581128,-0.14266606603021958,-0.0317292251749649,0.000866899026647383,0.9939162890882335
14,Worst Nifty 63-Day Window,Nifty 50,2025-12-29,2026-03-30,63,-0.14249510524418707,0.1737729867441083,-0.15181809374299426,-0.03262077926216955,0.0,1.0
15,Highest Nifty 63-Day Volatility,Current Equal Weight,2026-02-02,2026-05-06,63,0.004149838013636664,0.1955168015209524,-0.1314826852838452,-0.03243215954045997,0.04323655800726767,-0.10617002435386906
16,Highest Nifty 63-Day Volatility,Maximum Sharpe,2026-02-02,2026-05-06,63,0.012688330997278063,0.17722584215226342,-0.09983732925123434,-0.02694682466806564,0.051775050990909066,-0.32461999879615294
17,Highest Nifty 63-Day Volatility,Minimum Volatility,2026-02-02,2026-05-06,63,-0.03404076228955699,0.1791484092784686,-0.1285834242855034,-0.03066961780577926,0.005045957704074011,0.8709035266991902
18,Highest Nifty 63-Day Volatility,Risk Parity,2026-02-02,2026-05-06,63,-0.01028431702303112,0.1869831612964015,-0.13158720311698713,-0.0317292251749649,0.028802402970599883,0.2631153758797592
19,Highest Nifty 63-Day Volatility,Nifty 50,2026-02-02,2026-05-06,63,-0.039086719993631,0.20352329857552098,-0.13957271361553603,-0.03262077926216955,0.0,1.0
20,Maximum Nifty Drawdown,Current Equal Weight,2024-09-26,2025-03-04,110,-0.17269216915028662,0.15013006292114323,-0.1903567868008884,-0.022679966066082802,-0.02188931879399114,1.145151890314236
21,Maximum Nifty Drawdown,Maximum Sharpe,2024-09-26,2025-03-04,110,-0.19941739938401637,0.1735085443543917,-0.2219012039363104,-0.030664432669483377,-0.04861454902772089,1.322371552744934
22,Maximum Nifty Drawdown,Minimum Volatility,2024-09-26,2025-03-04,110,-0.16716693172981922,0.122494127697344,-0.17417686997991677,-0.024645182798192278,-0.016364081373523742,1.1085130774044458
23,Maximum Nifty Drawdown,Risk Parity,2024-09-26,2025-03-04,110,-0.17194774857654072,0.13804148419278722,-0.18541073941680064,-0.023533652195729227,-0.021144898220245234,1.140215507666381
24,Maximum Nifty Drawdown,Nifty 50,2024-09-26,2025-03-04,110,-0.15080285035629548,0.12677758130232702,-0.15766678303740833,-0.021196375260987388,0.0,1.0
