,Current Equal Weight,Minimum Volatility,Maximum Sharpe,Risk Parity,Maximum-Sharpe Risk Contribution,Risk-Parity Risk Contribution
HDFCBANK.NS,0.1,0.15500996428370445,0.0,0.1079221636973697,0.0,0.10000028271113895
TCS.NS,0.1,0.15959577613661882,0.0,0.11930764754732483,0.0,0.09999986335997378
HINDUNILVR.NS,0.1,0.2,0.04547922582387826,0.1388594334756346,0.01609357780110806,0.10000010021115525
SUNPHARMA.NS,0.1,0.19685135532429923,0.1999999999999999,0.12390837780636038,0.14907445664558092,0.10000005086459322
POWERGRID.NS,0.1,0.11640953922168623,0.12888263584525753,0.10042684709227243,0.11915222069191961,0.09999989149100874
BHARTIARTL.NS,0.1,0.12984922546736963,0.19999999999999998,0.10852664875859717,0.17141084788493216,0.09999988177593608
LT.NS,0.1,0.011604609090976806,0.04613020468858321,0.08314178493367808,0.04163055875088503,0.09999991171084462
M&M.NS,0.1,0.0,0.11935478198166453,0.07621773064810504,0.1331789287238661,0.09999996929083264
BEL.NS,0.1,0.024870120785171416,0.20000000000000007,0.07418450781898703,0.29934456379210644,0.10000005615307982
TRENT.NS,0.1,0.005809409690173426,0.06015315166061656,0.06750485822167071,0.0701148457096016,0.09999999243143688
