,Scenario,Portfolio,Nifty 50 Return,Portfolio Scenario Return,Return Difference vs Nifty,Base Model Volatility,Volatility Multiplier,Stressed Volatility,Scenario Ending Value (₹),Scenario Gain/Loss (₹),Stressed Downside Threshold,Stressed Downside Value (₹)
0,Bear,Current Equal Weight,-0.2,-0.08419890115683956,0.11580109884316045,0.1398709208263875,1.5,0.20980638123958123,915801.0988431604,-84198.90115683957,-0.42933039829595065,570669.6017040494
1,Bear,Minimum Volatility,-0.2,-0.06674206787420082,0.13325793212579917,0.11715073435688156,1.5,0.17572610153532234,933257.9321257992,-66742.06787420076,-0.35581150489980606,644188.4951001939
2,Bear,Maximum Sharpe,-0.2,-0.0402086504368593,0.15979134956314073,0.1581611710529173,1.5,0.23724175657937596,959791.3495631408,-40208.65043685923,-0.43047134000993276,569528.6599900672
3,Bear,Risk Parity,-0.2,-0.07775583446158268,0.12224416553841733,0.12771552504504682,1.5,0.19157328756757025,922244.1655384173,-77755.83446158271,-0.39289389251023576,607106.1074897642
4,Base,Current Equal Weight,0.08,0.18754181395892922,0.10754181395892921,0.1398709208263875,1.0,0.1398709208263875,1187541.8139589292,187541.81395892915,-0.04254585080047821,957454.1491995218
5,Base,Minimum Volatility,0.08,0.14531673160937886,0.06531673160937886,0.11715073435688156,1.0,0.11715073435688156,1145316.731609379,145316.73160937894,-0.04739622640769131,952603.7735923087
6,Base,Maximum Sharpe,0.08,0.23736199903103639,0.15736199903103637,0.1581611710529173,1.0,0.1581611710529173,1237361.9990310364,237361.9990310364,-0.022813127351012596,977186.8726489875
7,Base,Risk Parity,0.08,0.17232614771539076,0.09232614771539076,0.12771552504504682,1.0,0.12771552504504682,1172326.147715391,172326.1477153909,-0.037765890983711276,962234.1090162887
8,Bull,Current Equal Weight,0.2,0.30400212043711583,0.10400212043711582,0.1398709208263875,0.85,0.11889028270242936,1304002.120437116,304002.1204371159,0.10842760539161952,1108427.6053916195
9,Bull,Minimum Volatility,0.2,0.23619907424519876,0.03619907424519875,0.11715073435688156,0.85,0.09957812420334933,1236199.0742451986,236199.07424519863,0.07239305993068912,1072393.0599306892
10,Bull,Maximum Sharpe,0.2,0.3563208488029917,0.15632084880299169,0.1581611710529173,0.85,0.1344369953949797,1356320.8488029917,356320.8488029917,0.1351719913782501,1135171.99137825
11,Bull,Risk Parity,0.2,0.2795041400769508,0.07950414007695078,0.12771552504504682,0.85,0.10855819628828979,1279504.1400769507,279504.14007695066,0.10092590718271408,1100925.907182714
