,Execution Date,Signal Date,Portfolio,Ticker,Target Weight,Training Observations
0,2024-01-01,2023-12-29,Current Equal Weight,HDFCBANK.NS,0.1,679
1,2024-01-01,2023-12-29,Current Equal Weight,TCS.NS,0.1,679
2,2024-01-01,2023-12-29,Current Equal Weight,HINDUNILVR.NS,0.1,679
3,2024-01-01,2023-12-29,Current Equal Weight,SUNPHARMA.NS,0.1,679
4,2024-01-01,2023-12-29,Current Equal Weight,POWERGRID.NS,0.1,679
5,2024-01-01,2023-12-29,Current Equal Weight,BHARTIARTL.NS,0.1,679
6,2024-01-01,2023-12-29,Current Equal Weight,LT.NS,0.1,679
7,2024-01-01,2023-12-29,Current Equal Weight,M&M.NS,0.1,679
8,2024-01-01,2023-12-29,Current Equal Weight,BEL.NS,0.1,679
9,2024-01-01,2023-12-29,Current Equal Weight,TRENT.NS,0.1,679
10,2024-01-01,2023-12-29,Minimum Volatility,HDFCBANK.NS,0.12017485772660562,679
11,2024-01-01,2023-12-29,Minimum Volatility,TCS.NS,0.16521140971262488,679
12,2024-01-01,2023-12-29,Minimum Volatility,HINDUNILVR.NS,0.20000000000000004,679
13,2024-01-01,2023-12-29,Minimum Volatility,SUNPHARMA.NS,0.15834340315953285,679
14,2024-01-01,2023-12-29,Minimum Volatility,POWERGRID.NS,0.15596452273243583,679
15,2024-01-01,2023-12-29,Minimum Volatility,BHARTIARTL.NS,0.12141272521954107,679
16,2024-01-01,2023-12-29,Minimum Volatility,LT.NS,0.018125268319818307,679
17,2024-01-01,2023-12-29,Minimum Volatility,M&M.NS,0.0227321196027415,679
18,2024-01-01,2023-12-29,Minimum Volatility,BEL.NS,0.03280753819768761,679
19,2024-01-01,2023-12-29,Minimum Volatility,TRENT.NS,0.005228155329012476,679
20,2024-01-01,2023-12-29,Maximum Sharpe,HDFCBANK.NS,0.0,679
21,2024-01-01,2023-12-29,Maximum Sharpe,TCS.NS,0.02217772944032402,679
22,2024-01-01,2023-12-29,Maximum Sharpe,HINDUNILVR.NS,0.042222936318304545,679
23,2024-01-01,2023-12-29,Maximum Sharpe,SUNPHARMA.NS,0.19252412629900295,679
24,2024-01-01,2023-12-29,Maximum Sharpe,POWERGRID.NS,0.15710606112303632,679
25,2024-01-01,2023-12-29,Maximum Sharpe,BHARTIARTL.NS,0.15152452402993066,679
26,2024-01-01,2023-12-29,Maximum Sharpe,LT.NS,0.11321237263413116,679
27,2024-01-01,2023-12-29,Maximum Sharpe,M&M.NS,0.02290705978091807,679
28,2024-01-01,2023-12-29,Maximum Sharpe,BEL.NS,0.16047737885623806,679
29,2024-01-01,2023-12-29,Maximum Sharpe,TRENT.NS,0.13784781151811437,679
30,2024-01-01,2023-12-29,Risk Parity,HDFCBANK.NS,0.10427434936133567,679
31,2024-01-01,2023-12-29,Risk Parity,TCS.NS,0.11666374188594394,679
32,2024-01-01,2023-12-29,Risk Parity,HINDUNILVR.NS,0.12837748148185502,679
33,2024-01-01,2023-12-29,Risk Parity,SUNPHARMA.NS,0.11377978495590325,679
34,2024-01-01,2023-12-29,Risk Parity,POWERGRID.NS,0.11147813333753412,679
35,2024-01-01,2023-12-29,Risk Parity,BHARTIARTL.NS,0.10571677160567373,679
36,2024-01-01,2023-12-29,Risk Parity,LT.NS,0.08677071518606176,679
37,2024-01-01,2023-12-29,Risk Parity,M&M.NS,0.08061622670550433,679
38,2024-01-01,2023-12-29,Risk Parity,BEL.NS,0.07805887691005833,679
39,2024-01-01,2023-12-29,Risk Parity,TRENT.NS,0.07426391857013,679
40,2024-02-01,2024-01-31,Current Equal Weight,HDFCBANK.NS,0.1,700
41,2024-02-01,2024-01-31,Current Equal Weight,TCS.NS,0.1,700
42,2024-02-01,2024-01-31,Current Equal Weight,HINDUNILVR.NS,0.1,700
43,2024-02-01,2024-01-31,Current Equal Weight,SUNPHARMA.NS,0.1,700
44,2024-02-01,2024-01-31,Current Equal Weight,POWERGRID.NS,0.1,700
45,2024-02-01,2024-01-31,Current Equal Weight,BHARTIARTL.NS,0.1,700
46,2024-02-01,2024-01-31,Current Equal Weight,LT.NS,0.1,700
47,2024-02-01,2024-01-31,Current Equal Weight,M&M.NS,0.1,700
48,2024-02-01,2024-01-31,Current Equal Weight,BEL.NS,0.1,700
49,2024-02-01,2024-01-31,Current Equal Weight,TRENT.NS,0.1,700
50,2024-02-01,2024-01-31,Minimum Volatility,HDFCBANK.NS,0.10653231161772586,700
51,2024-02-01,2024-01-31,Minimum Volatility,TCS.NS,0.16840609583845154,700
52,2024-02-01,2024-01-31,Minimum Volatility,HINDUNILVR.NS,0.19999999999999996,700
53,2024-02-01,2024-01-31,Minimum Volatility,SUNPHARMA.NS,0.16364718530178396,700
54,2024-02-01,2024-01-31,Minimum Volatility,POWERGRID.NS,0.1556066069765533,700
55,2024-02-01,2024-01-31,Minimum Volatility,BHARTIARTL.NS,0.12263490561236512,700
56,2024-02-01,2024-01-31,Minimum Volatility,LT.NS,0.024797611467303266,700
57,2024-02-01,2024-01-31,Minimum Volatility,M&M.NS,0.020522590322626173,700
58,2024-02-01,2024-01-31,Minimum Volatility,BEL.NS,0.03268693065804002,700
59,2024-02-01,2024-01-31,Minimum Volatility,TRENT.NS,0.005165762205150661,700
60,2024-02-01,2024-01-31,Maximum Sharpe,HDFCBANK.NS,0.0,700
61,2024-02-01,2024-01-31,Maximum Sharpe,TCS.NS,0.03295869500163894,700
62,2024-02-01,2024-01-31,Maximum Sharpe,HINDUNILVR.NS,0.014914053492198591,700
63,2024-02-01,2024-01-31,Maximum Sharpe,SUNPHARMA.NS,0.19999999999999996,700
64,2024-02-01,2024-01-31,Maximum Sharpe,POWERGRID.NS,0.1749099119173232,700
65,2024-02-01,2024-01-31,Maximum Sharpe,BHARTIARTL.NS,0.1807233396238137,700
66,2024-02-01,2024-01-31,Maximum Sharpe,LT.NS,0.09933258340126877,700
