,Scenario,Portfolio,Nifty 50 Return,Portfolio Return,Stressed Volatility,Ending Value (₹),Gain/Loss (₹)
0,Bear,Current Portfolio,-0.2,-0.08240672795658918,0.21121247593102915,917593.2720434108,-82406.72795658918
1,Bear,Minimum Volatility,-0.2,-0.057547705384184585,0.20469179206538213,942452.2946158154,-57547.705384184585
2,Bear,Maximum Sharpe,-0.2,-0.02814232494248083,0.236892679105147,971857.6750575192,-28142.32494248083
3,Bear,Risk Parity,-0.2,-0.07471142358671197,0.21128629887108819,925288.576413288,-74711.42358671197
4,Base,Current Portfolio,0.08,0.18066488090069802,0.14080831728735277,1180664.880900698,180664.88090069802
5,Base,Minimum Volatility,0.08,0.17394279315224725,0.13646119471025475,1173942.7931522473,173942.79315224726
6,Base,Maximum Sharpe,0.08,0.2325262409423438,0.15792845273676467,1232526.2409423438,232526.2409423438
7,Base,Risk Parity,0.08,0.18608781023028897,0.14085753258072545,1186087.810230289,186087.81023028897
8,Bull,Current Portfolio,0.2,0.2934098561252497,0.11968706969424985,1293409.8561252498,293409.8561252497
9,Bull,Minimum Volatility,0.2,0.2731530068107181,0.11599201550371653,1273153.006810718,273153.0068107181
10,Bull,Maximum Sharpe,0.2,0.3442413406072687,0.13423918482624997,1344241.3406072687,344241.3406072687
11,Bull,Risk Parity,0.2,0.29785891043757506,0.11972890269361662,1297858.910437575,297858.9104375751
