Dataset,Rows,Columns,File Size (KB),Path
asset_analytics,10,6,1.2255859375,data/processed/optimisation/asset_analytics.csv
current_diversification_statistics,7,1,0.2490234375,data/processed/optimisation/current_diversification_statistics.csv
current_portfolio_statistics,11,1,0.3662109375,data/processed/optimisation/current_portfolio_statistics.csv
efficient_frontier,60,6,5.5244140625,data/processed/optimisation/efficient_frontier.csv
efficient_frontier_comparison_points,4,3,0.33984375,data/processed/optimisation/efficient_frontier_comparison_points.csv
efficient_frontier_weights,60,10,10.13671875,data/processed/optimisation/efficient_frontier_weights.csv
historical_stress_periods,5,4,0.4765625,data/processed/optimisation/historical_stress_periods.csv
historical_stress_results,25,11,4.505859375,data/processed/optimisation/historical_stress_results.csv
monte_carlo_risk_summary,4,15,1.4150390625,data/processed/optimisation/monte_carlo_risk_summary.csv
monte_carlo_terminal_values,40000,5,3386.4609375,data/processed/optimisation/monte_carlo_terminal_values.csv
one_day_risk_summary,4,5,0.5537109375,data/processed/optimisation/one_day_risk_summary.csv
optimisation_diversification_comparison,4,7,0.642578125,data/processed/optimisation/optimisation_diversification_comparison.csv
optimisation_historical_performance,4,11,1.0048828125,data/processed/optimisation/optimisation_historical_performance.csv
optimisation_model_estimates,4,3,0.3427734375,data/processed/optimisation/optimisation_model_estimates.csv
optimised_portfolio_weights,10,6,1.1474609375,data/processed/optimisation/optimised_portfolio_weights.csv
portfolio_drawdown_episodes,5,6,0.4365234375,data/processed/optimisation/portfolio_drawdown_episodes.csv
portfolio_scenario_results,12,12,2.462890625,data/processed/optimisation/portfolio_scenario_results.csv
rolling_backtest_daily,2560,8,274.455078125,data/processed/optimisation/rolling_backtest_daily.csv
rolling_estimation_summary,31,6,2.763671875,data/processed/optimisation/rolling_estimation_summary.csv
rolling_performance_comparison,5,11,1.2041015625,data/processed/optimisation/rolling_performance_comparison.csv
rolling_target_weights,1240,6,86.7646484375,data/processed/optimisation/rolling_target_weights.csv
rolling_trading_history,124,5,11.01953125,data/processed/optimisation/rolling_trading_history.csv
rolling_trading_summary,4,6,0.6083984375,data/processed/optimisation/rolling_trading_summary.csv
scenario_asset_returns,30,6,2.1748046875,data/processed/optimisation/scenario_asset_returns.csv
scenario_assumptions,3,2,0.0869140625,data/processed/optimisation/scenario_assumptions.csv
scenario_ending_value_comparison,4,3,0.3056640625,data/processed/optimisation/scenario_ending_value_comparison.csv
scenario_return_comparison,4,3,0.3251953125,data/processed/optimisation/scenario_return_comparison.csv
scenario_stock_statistics,10,3,0.7333984375,data/processed/optimisation/scenario_stock_statistics.csv
scenario_stressed_volatility,4,3,0.3212890625,data/processed/optimisation/scenario_stressed_volatility.csv
scenario_winners,3,4,0.3359375,data/processed/optimisation/scenario_winners.csv
stress_drawdown_comparison,5,5,0.6396484375,data/processed/optimisation/stress_drawdown_comparison.csv
stress_return_comparison,5,5,0.7236328125,data/processed/optimisation/stress_return_comparison.csv
stress_test_winners,5,4,0.6044921875,data/processed/optimisation/stress_test_winners.csv
user_portfolio_best_frontier_weights,6,1,0.1201171875,data/processed/optimisation/user_portfolio_best_frontier_weights.csv
user_portfolio_covariance,6,6,0.8408203125,data/processed/optimisation/user_portfolio_covariance.csv
user_portfolio_diversification,4,7,0.662109375,data/processed/optimisation/user_portfolio_diversification.csv
user_portfolio_efficient_frontier,60,5,4.4892578125,data/processed/optimisation/user_portfolio_efficient_frontier.csv
user_portfolio_expected_returns,6,1,0.1884765625,data/processed/optimisation/user_portfolio_expected_returns.csv
user_portfolio_frontier_comparison,4,3,0.3408203125,data/processed/optimisation/user_portfolio_frontier_comparison.csv
user_portfolio_frontier_weights,60,6,6.3642578125,data/processed/optimisation/user_portfolio_frontier_weights.csv
user_portfolio_historical_comparison,4,11,1.0078125,data/processed/optimisation/user_portfolio_historical_comparison.csv
user_portfolio_input_example,6,6,0.3203125,data/processed/optimisation/user_portfolio_input_example.csv
user_portfolio_model_comparison,4,6,0.5576171875,data/processed/optimisation/user_portfolio_model_comparison.csv
user_portfolio_monte_carlo,4,14,1.328125,data/processed/optimisation/user_portfolio_monte_carlo.csv
user_portfolio_one_day_risk,4,7,0.734375,data/processed/optimisation/user_portfolio_one_day_risk.csv
user_portfolio_optimised_weights,6,4,0.5400390625,data/processed/optimisation/user_portfolio_optimised_weights.csv
user_portfolio_scenario_results,12,7,1.33203125,data/processed/optimisation/user_portfolio_scenario_results.csv
user_portfolio_scenario_returns,4,3,0.322265625,data/processed/optimisation/user_portfolio_scenario_returns.csv
v05_research_summary,6,4,1.3154296875,data/processed/optimisation/v05_research_summary.csv
