Metric,Nifty 50,Fixed India 10 Portfolio,"Adaptive Allocation — No Cash, No Costs","Adaptive Allocation — No Cash, With Costs",Adaptive Barbell Strategy
Ending Value (₹),1379641.7429361735,2346549.424318392,2337599.9121376975,2325624.856150565,2327851.789946992
Total Return,0.37964174293617337,1.346549424318392,1.3375999121376974,1.325624856150565,1.3278517899469922
CAGR,0.07296849105764869,0.20521957670485236,0.20421214028955403,0.20285939821507593,0.20311137123076106
Annualised Volatility,0.13839039999466268,0.1891648422568532,0.1423385669001476,0.1423304955825778,0.12910773035473172
Sharpe Ratio,0.13192854971139742,0.7663489113392473,0.9572299193881415,0.9492373855806056,1.0341810252556995
Sortino Ratio,0.18237960506546128,1.0648729764244236,1.3791733512267388,1.367194960035503,1.504440425005203
Maximum Drawdown,-0.16465934060306953,-0.3586156804046392,-0.18396241793648171,-0.18429429622211224,-0.14787864034143183
Calmar Ratio,0.44314820398526744,0.572254889895767,1.1100753217978692,1.100736172380446,1.3735003970945656
Beta vs Nifty 50,1.0000000000000004,1.0010309453627926,0.9113386887551979,0.9112447028134081,0.8089204653609839
Correlation vs Nifty 50,1.0,0.7323404882377039,0.8860601059438686,0.8860189687332294,0.8670807430166585
