Ticker,Average Portfolio Weight,Linked Return Contribution,Contribution Share
TRENT.NS,0.08350586458945346,0.3252682062086476,0.24135045763988183
BEL.NS,0.09754976084118337,0.3043451118519646,0.2258254284429347
BHARTIARTL.NS,0.10021410512932383,0.16873278336078446,0.1252004767316655
SUNPHARMA.NS,0.09622606278540456,0.14677994276141137,0.10891137123650566
M&M.NS,0.0880686609091134,0.14398302995875886,0.10683604948044685
LT.NS,0.0919281196321855,0.12470996597991943,0.09253535017252922
POWERGRID.NS,0.07751698453826082,0.10606246496884879,0.078698821372739
HINDUNILVR.NS,0.09640596270402524,0.009795408200382999,0.0072682365100737445
HDFCBANK.NS,0.09726090499285171,0.0005183597253962707,0.0003846252248405191
TCS.NS,0.08979977565396931,-0.01388553874170674,-0.010303131587775004
