Sector,Linked Return Contribution,Contribution Share
Industrials,0.4290550778318841,0.31836077861546397
Consumer Discretionary,0.3252682062086476,0.24135045763988183
Telecommunication,0.16873278336078446,0.1252004767316655
Healthcare,0.14677994276141137,0.10891137123650566
Automobiles,0.14398302995875886,0.10683604948044685
Utilities,0.10606246496884879,0.078698821372739
Cash Protection,0.036448732593498075,0.027045121914533315
Consumer Staples,0.009795408200382999,0.0072682365100737445
Reconciliation Residual,0.007884142589906573,0.005850068914978526
Financial Services,0.0005183597253962707,0.0003846252248405191
Transaction Costs,-0.012941803793794985,-0.009602876053352602
Information Technology,-0.01388553874170674,-0.010303131587775004
