Strategy,Signal Date,Execution Date,Ticker,Score,Selected,Target Weight,Source Strategy,Construction Method,Regime,Market Regime
1-Month Reversal,2026-07-01,2026-07-02,LT.NS,-0.020394945604936154,True,0.3333333333333333,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,POWERGRID.NS,-0.004892517652790307,True,0.3333333333333333,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,TCS.NS,0.13702441201021154,True,0.3333333333333333,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,BEL.NS,-0.022224920239853674,False,0.0,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,BHARTIARTL.NS,-0.03335917288846968,False,0.0,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,HDFCBANK.NS,-0.08969690519449913,False,0.0,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,HINDUNILVR.NS,-0.05752254378896571,False,0.0,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,M&M.NS,-0.0538011277206889,False,0.0,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,SUNPHARMA.NS,-0.03879760130133558,False,0.0,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
1-Month Reversal,2026-07-01,2026-07-02,TRENT.NS,-0.18893099180614858,False,0.0,1-Month Reversal,Top-3 Equal Weight,,Bear / Higher Volatility
12-Month Momentum,2026-07-01,2026-07-02,BEL.NS,0.026311821312813066,True,0.3333333333333333,12-Month Momentum,Top-3 Equal Weight,,Bear / Higher Volatility
12-Month Momentum,2026-07-01,2026-07-02,LT.NS,0.12850191891824037,True,0.3333333333333333,12-Month Momentum,Top-3 Equal Weight,,Bear / Higher Volatility
12-Month Momentum,2026-07-01,2026-07-02,SUNPHARMA.NS,0.13176723666671153,True,0.3333333333333333,12-Month Momentum,Top-3 Equal Weight,,Bear / Higher Volatility
12-Month Momentum,2026-07-01,2026-07-02,BHARTIARTL.NS,-0.025847325695546486,False,0.0,12-Month Momentum,Top-3 Equal Weight,,Bear / Higher Volatility
12-Month Momentum,2026-07-01,2026-07-02,HDFCBANK.NS,-0.16500491780874094,False,0.0,12-Month Momentum,Top-3 Equal Weight,,Bear / Higher Volatility
12-Month Momentum,2026-07-01,2026-07-02,HINDUNILVR.NS,-0.02658776965645382,False,0.0,12-Month Momentum,Top-3 Equal Weight,,Bear / Higher Volatility
12-Month Momentum,2026-07-01,2026-07-02,M&M.NS,-0.009186422422208573,False,0.0,12-Month Momentum,Top-3 Equal Weight,,Bear / Higher Volatility
