Strategy,Signal Date,Execution Date,Market Regime,Source Strategy,Construction Method,Active Holdings,Largest Weight,Holdings
1-Month Reversal,2026-07-01,2026-07-02,Bear / Higher Volatility,1-Month Reversal,Top-3 Equal Weight,3,0.3333333333333333,LT.NS (33.3%); POWERGRID.NS (33.3%); TCS.NS (33.3%)
12-Month Momentum,2026-07-01,2026-07-02,Bear / Higher Volatility,12-Month Momentum,Top-3 Equal Weight,3,0.3333333333333333,BEL.NS (33.3%); LT.NS (33.3%); SUNPHARMA.NS (33.3%)
Equal-Weight India 10,2026-07-01,2026-07-02,Bear / Higher Volatility,Equal-Weight India 10,Equal Weight — 10 Stocks,10,0.1,BEL.NS (10.0%); BHARTIARTL.NS (10.0%); HDFCBANK.NS (10.0%); HINDUNILVR.NS (10.0%); LT.NS (10.0%); M&M.NS (10.0%); POWERGRID.NS (10.0%); SUNPHARMA.NS (10.0%); TCS.NS (10.0%); TRENT.NS (10.0%)
Gradient Boosting,2026-07-01,2026-07-02,Bear / Higher Volatility,Gradient Boosting,Top-3 Equal Weight,3,0.3333333333333333,LT.NS (33.3%); SUNPHARMA.NS (33.3%); TCS.NS (33.3%)
Gradient Boosting — Inverse Volatility,2026-07-01,2026-07-02,Bear / Higher Volatility,Gradient Boosting — Inverse Volatility,Top-3 Inverse Volatility,3,0.39045401669599916,SUNPHARMA.NS (39.0%); LT.NS (33.6%); TCS.NS (27.4%)
Lasso Regression,2026-07-01,2026-07-02,Bear / Higher Volatility,Lasso Regression,Top-3 Equal Weight,3,0.3333333333333333,LT.NS (33.3%); POWERGRID.NS (33.3%); TCS.NS (33.3%)
Linear Regression,2026-07-01,2026-07-02,Bear / Higher Volatility,Linear Regression,Top-3 Equal Weight,3,0.3333333333333333,POWERGRID.NS (33.3%); SUNPHARMA.NS (33.3%); TCS.NS (33.3%)
Nifty Outperformance Logistic,2026-07-01,2026-07-02,Bear / Higher Volatility,Nifty Outperformance Logistic,Top-3 Equal Weight,3,0.3333333333333333,BEL.NS (33.3%); POWERGRID.NS (33.3%); TCS.NS (33.3%)
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,Bear / Higher Volatility,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,3,0.35387559232360233,TCS.NS (35.4%); POWERGRID.NS (32.4%); BEL.NS (32.2%)
Positive Return Logistic,2026-07-01,2026-07-02,Bear / Higher Volatility,Positive Return Logistic,Top-3 Equal Weight,3,0.3333333333333333,POWERGRID.NS (33.3%); SUNPHARMA.NS (33.3%); TCS.NS (33.3%)
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,Bear / Higher Volatility,Positive Return Logistic — Probability Weighted,Probability Weighted,3,0.3446507598803478,POWERGRID.NS (34.5%); SUNPHARMA.NS (33.1%); TCS.NS (32.4%)
Random Forest,2026-07-01,2026-07-02,Bear / Higher Volatility,Random Forest,Top-3 Equal Weight,3,0.3333333333333333,BEL.NS (33.3%); LT.NS (33.3%); TCS.NS (33.3%)
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,Bear / Higher Volatility,1-Month Reversal,Prior Same-Regime Sharpe Selection,3,0.3333333333333333,LT.NS (33.3%); POWERGRID.NS (33.3%); TCS.NS (33.3%)
Ridge Regression,2026-07-01,2026-07-02,Bear / Higher Volatility,Ridge Regression,Top-3 Equal Weight,3,0.3333333333333333,POWERGRID.NS (33.3%); SUNPHARMA.NS (33.3%); TCS.NS (33.3%)
