Model,Model Family,Prediction Task,Rebalances,Predictions,Mean Rank IC,Median Rank IC,Positive Rank IC Rate,Mean Selected Forward Return,Mean Selected Excess Return,Selected Positive Return Rate,Selected Outperformance Rate,Mean Absolute Error,Root Mean Squared Error,Pooled R-Squared,Directional Accuracy,Accuracy,Balanced Accuracy,ROC AUC,Brier Score,Median Non-Zero Coefficients,Ending Value (₹),CAGR,Annualised Volatility,Sharpe Ratio,Maximum Drawdown,Annualised Turnover,Transaction Costs (₹),Backtested
1-Month Reversal,Rule-Based Baseline,Cross-Sectional Return Ranking,101.0,,0.06894689468946895,0.06666666666666667,0.594059405940594,0.027999699659737066,0.01785002400325136,0.5940594059405941,0.5511551155115512,,,,,,,,,,8460873.006195882,0.2923806930312398,0.21535809330937405,1.0329893151574987,-0.3355691908708598,8.654176759585951,449638.4066602226,True
Equal-Weight India 10,Rule-Based Baseline,Cross-Sectional Return Ranking,101.0,,,,,0.01800681308667442,0.007857137430188706,0.5811881188118813,0.5158415841584157,,,,,,,,,,4816198.612381404,0.20780997377488575,0.16696779088590644,0.8622131795474541,-0.30470433075109493,0.4140567071952027,10846.572132903973,True
Linear Regression,Linear Regression,Forward 21-Day Excess Return,101.0,1010.0,0.0009000900090008988,-0.030303030303030304,0.48514851485148514,0.023263238080395036,0.013113562423909323,0.5874587458745875,0.5181518151815182,0.0556918110883637,0.07459209961181984,-0.056838253686738005,0.4891089108910891,,,,,,5984914.983325396,0.23974190788029737,0.2121752350271768,0.844548835317364,-0.2982496566930306,7.304367191613599,253682.90244596094,True
Ridge Regression,Linear Regression,Forward 21-Day Excess Return,101.0,1010.0,0.00018001800180018006,-0.030303030303030304,0.48514851485148514,0.023263238080395036,0.013113562423909323,0.5874587458745875,0.5181518151815182,0.05566987920240524,0.07452879591969087,-0.055045211924878545,0.49207920792079207,,,,,,5984914.983325396,0.23974190788029737,0.2121752350271768,0.844548835317364,-0.2982496566930306,7.304367191613599,253682.90244596094,True
12-Month Momentum,Rule-Based Baseline,Cross-Sectional Return Ranking,101.0,,0.030423042304230423,0.05454545454545454,0.5841584158415841,0.022267827295254634,0.012118151638768922,0.5973597359735974,0.5115511551155115,,,,,,,,,,6256936.608170501,0.24637815707562227,0.2234693072338105,0.8372515003676464,-0.30465983404872776,2.8858021985121947,90850.6920580781,True
Gradient Boosting,Tree-Based Regression,Forward 21-Day Excess Return,101.0,1010.0,0.01686168616861687,0.006060606060606061,0.504950495049505,0.02240259221470924,0.012252916558223529,0.594059405940594,0.5148514851485149,0.056180139612054314,0.07556911122088643,-0.08470462032727544,0.5069306930693069,,,,,,5868523.311760196,0.23682102265650196,0.2114498319881229,0.8353594321373392,-0.3039469542289823,7.389336111554769,219676.82821595448,True
Positive Return Logistic,Logistic Classification,Probability of Positive Return,101.0,1010.0,-0.03150315031503151,0.01818181818181818,0.5148514851485149,0.02188359302671137,0.011733917370225664,0.5841584158415841,0.5148514851485149,,,,,0.5227722772277228,0.46625668039999835,0.45508878337179476,0.26566748780395744,,5505116.767092908,0.22736114321741008,0.2025144979522286,0.8239279844545926,-0.3108649585134803,6.690606684113128,251505.0828599814,True
Lasso Regression,Sparse Linear Regression,Forward 21-Day Excess Return,101.0,1010.0,0.007740774077407735,-0.006060606060606061,0.48514851485148514,0.023184456278635444,0.013034780622149723,0.5775577557755776,0.5082508250825083,0.05477438249819671,0.07307167432324616,-0.014193863407377272,0.5099009900990099,,,,,10.0,5702946.40909371,0.23257673022072423,0.21043608906410635,0.8219987315313165,-0.2982496566930307,6.539816224496908,228612.53692977977,True
Random Forest,Tree-Based Regression,Forward 21-Day Excess Return,101.0,1010.0,0.012661266126612655,0.030303030303030304,0.5247524752475248,0.01959320529602455,0.009443529639538841,0.5577557755775577,0.49834983498349844,0.05443216615640772,0.07249170240753616,0.001841615940371355,0.5,,,,,,4420493.517308627,0.19543656482766192,0.20880073472234933,0.6764675418257491,-0.263318164701255,6.874796303159874,174612.87013669714,True
Nifty Outperformance Logistic,Logistic Classification,Probability of Nifty Outperformance,101.0,1010.0,-0.03894389438943895,-0.06666666666666667,0.45544554455445546,0.017570443119345528,0.007420767462859813,0.5742574257425742,0.4884488448844884,,,,,0.4861386138613861,0.4833299969776543,0.4742688474657435,0.2636860947171389,,3671693.3809547788,0.1690827873803602,0.20569054818501148,0.5728457756232767,-0.3966783119868478,7.092276110942607,192415.73538484142,True
Historical Mean,Rule-Based Baseline,Cross-Sectional Return Ranking,101.0,,0.03414341434143415,0.06666666666666667,0.5643564356435643,0.02184677606606316,0.01169710040957744,0.5841584158415842,0.537953795379538,,,,,,,,,,,,,,,,,False
6-Month Momentum,Rule-Based Baseline,Cross-Sectional Return Ranking,101.0,,0.02658265826582658,0.05454545454545454,0.594059405940594,0.020452522901781452,0.010302847245295746,0.5742574257425742,0.5313531353135315,,,,,,,,,,,,,,,,,False
Blended Momentum,Rule-Based Baseline,Cross-Sectional Return Ranking,101.0,,0.03774377437743775,0.030303030303030304,0.5544554455445545,0.01938353506012786,0.009233859403642143,0.5808580858085808,0.5214521452145215,,,,,,,,,,,,,,,,,False
