Strategy,Start Date,End Date,Years,Ending Value (₹),Total Return,CAGR,Annualised Volatility,Sharpe Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty,Correlation vs Nifty,Total One-Way Turnover,Annualised Turnover,Transaction Costs (₹),Rebalances,Strategy Type,CAGR Rank,Sharpe Rank,Drawdown Rank,Turnover Rank,CAGR Advantage vs Nifty,CAGR Advantage vs Equal Weight,Beats Nifty on CAGR,Beats Equal Weight on CAGR
Regime-Aware Walk-Forward,2018-04-02,2026-07-30,8.32580424366872,11752022.406361481,10.752022406361482,0.3444035130109657,0.2115155605708025,1.2383979529355489,-0.27692131086551297,1.2436872840683089,0.8796112971281281,0.7108642982050881,54.3134798941287,6.523511519674615,354506.8267191773,101,Dynamic Regime Selector,1,1,2,4,0.2345692279521916,0.13659353923607997,True,True
1-Month Reversal,2018-04-02,2026-07-30,8.32580424366872,8460873.006195882,7.460873006195882,0.2923806930312398,0.21535809330937405,1.0329893151574987,-0.3355691908708598,0.8712977859274316,0.8735513427715731,0.6933706678254034,72.05298159041993,8.654176759585951,449638.4066602226,101,Rule-Based Signal,2,2,12,15,0.18254640797246569,0.08457071925635407,True,True
Equal-Weight India 10,2018-04-02,2026-07-30,8.32580424366872,4816198.612381404,3.8161986123814042,0.20780997377488575,0.16696779088590644,0.8622131795474541,-0.30470433075109493,0.6820053172944245,0.8670130442636468,0.8876283355559392,3.4473550898853156,0.4140567071952027,10846.572132903973,101,Benchmark,11,3,8,2,0.09797568871611162,0.0,True,False
Ridge Regression,2018-04-02,2026-07-30,8.32580424366872,5984914.983325396,4.984914983325396,0.23974190788029737,0.2121752350271768,0.844548835317364,-0.2982496566930306,0.8038296189123478,0.8946078589567218,0.7207360485907701,60.81473136125108,7.304367191613599,253682.90244596094,101,Linear ML Strategy,4,4,3,11,0.12990762282152324,0.03193193410541162,True,True
Linear Regression,2018-04-02,2026-07-30,8.32580424366872,5984914.983325396,4.984914983325396,0.23974190788029737,0.2121752350271768,0.844548835317364,-0.2982496566930306,0.8038296189123478,0.8946078589567218,0.7207360485907701,60.81473136125108,7.304367191613599,253682.90244596094,101,Linear ML Strategy,4,4,3,11,0.12990762282152324,0.03193193410541162,True,True
12-Month Momentum,2018-04-02,2026-07-30,8.32580424366872,6256936.608170501,5.256936608170501,0.24637815707562227,0.2234693072338105,0.8372515003676464,-0.30465983404872776,0.8086991770507437,0.8891649378200188,0.6801468227032716,24.026624190761353,2.8858021985121947,90850.6920580781,101,Rule-Based Signal,3,6,7,3,0.13654387201684814,0.038568183300736525,True,True
Gradient Boosting,2018-04-02,2026-07-30,8.32580424366872,5868523.311760196,4.868523311760196,0.23682102265650196,0.2114498319881229,0.8353594321373392,-0.3039469542289823,0.7791524782909646,0.8988315099751841,0.7266230522171965,61.52216595547722,7.389336111554769,219676.82821595448,101,Tree-Based ML Strategy,6,7,6,13,0.12698673759772783,0.029011048881616208,True,True
Positive Return Logistic,2018-04-02,2026-07-30,8.32580424366872,5505116.767092908,4.5051167670929075,0.22736114321741008,0.2025144979522286,0.8239279844545926,-0.3108649585134803,0.7313823478356144,0.8816820189650451,0.744207584045754,55.704681523307386,6.690606684113128,251505.0828599814,101,Classification ML Strategy,8,8,10,6,0.11752685815863595,0.01955116944252433,True,True
Lasso Regression,2018-04-02,2026-07-30,8.32580424366872,5702946.40909371,4.70294640909371,0.23257673022072423,0.21043608906410635,0.8219987315313165,-0.2982496566930307,0.7798055253424837,0.8528098945308701,0.692739953212742,54.44922967472991,6.539816224496908,228612.53692977977,101,Linear ML Strategy,7,9,5,5,0.1227424451619501,0.024766756445838478,True,True
Positive Return Logistic — Probability Weighted,2018-04-02,2026-07-30,8.32580424366872,5464918.211223643,4.464918211223643,0.22628122859384447,0.20228194432152802,0.8202048307705424,-0.3055195479641297,0.7406440278590998,0.8796030280309174,0.7433063169689496,55.90267765471232,6.714387705815085,249403.0059168593,101,Advanced ML Construction,9,10,9,7,0.11644694353507035,0.018471254818958727,True,True
Gradient Boosting — Inverse Volatility,2018-04-02,2026-07-30,8.32580424366872,4829730.76091127,3.8297307609112696,0.20821707138704393,0.2047275542154023,0.7390519035225129,-0.3223954489694756,0.6458437054635903,0.876701490813508,0.7320043707599474,63.924694458426075,7.677900246938547,212168.08063794934,101,Advanced ML Construction,10,11,11,14,0.0983827863282698,0.0004070976121581804,True,True
Random Forest,2018-04-02,2026-07-30,8.32580424366872,4420493.517308627,3.4204935173086275,0.19543656482766192,0.20880073472234933,0.6764675418257491,-0.263318164701255,0.7422069231319173,0.8825001992500475,0.7224719943226761,57.23820823520651,6.874796303159874,174612.87013669714,101,Tree-Based ML Strategy,12,12,1,8,0.08560227976888779,-0.01237340894722383,True,False
Nifty Outperformance Logistic,2018-04-02,2026-07-30,8.32580424366872,3671693.3809547788,2.6716933809547787,0.1690827873803602,0.20569054818501148,0.5728457756232767,-0.3966783119868478,0.426246614122847,0.8778214267813631,0.7295080171005308,59.04890254175625,7.092276110942607,192415.73538484142,101,Classification ML Strategy,13,13,15,9,0.05924850232158607,-0.03872718639452555,True,False
Nifty Outperformance Logistic — Probability Weighted,2018-04-02,2026-07-30,8.32580424366872,3665276.1049793726,2.6652761049793727,0.16883718218018617,0.20585631042452493,0.5715072936308766,-0.3919038873069841,0.43081272640690477,0.8780040027708017,0.7290721998254093,59.332086978511995,7.1262889736604755,190455.30359999195,101,Advanced ML Construction,14,14,14,10,0.059002897121412046,-0.038972791594699574,True,False
Nifty 50,2018-04-02,2026-07-30,8.32580424366872,2381279.5839831037,1.3812795839831038,0.10983428505877413,0.17093784608671,0.3405701647913238,-0.3843985245274204,0.2857302462172674,0.9999999999999988,1.0,0.0,0.0,0.0,0,Benchmark,15,15,13,1,0.0,-0.09797568871611162,False,False
